"code","group","desc"
"179","C0423732","DISO","After pains"
"180","C0423900","DISO","Average intellect"
"181","C0439044","DISO","Living Alone"
"182","C0476658","DISO","Encounter due to Chemotherapy session for neoplasm"
"183","C0673076","CHEM","XR 300"
"184","C0074554","CHEM","Simvastatin"
"185","C0860434","DISO","Fluid and electrolyte imbalance"
"186","PheCode:363","PheCode","chorioretinal inflammations, scars, and other disorders of choroid"
"187","PheCode:367","PheCode","disorders of refraction and accommodation; blindness and low vision"
"188","PheCode:585.1","PheCode","acute renal failure"
"189","PheCode:362.2","PheCode","degeneration of macula and posterior pole of retina"
"190","PheCode:1010","PheCode","other tests"
"191","PheCode:782.3","PheCode","edema"
"192","RXNORM:203146","RXNORM","goserelin acetate"
"193","CCS:228","CCS","prophylactic vaccinations and inoculations"
"194","CCS:206","CCS","microscopic examination (bacterial smear, culture, toxicology)"
"195","ShortName:Calcium - BSP","ShortName","serum calcium"
"196","LOINC:38875-1","LOINC","inr in platelet poor plasma or blood by coagulation assay"
"197","ShortName:Eos - Fra","ShortName","eosinophil - fractional value"
"198","ShortName:MPV","ShortName","mean platelet volume"
"199","ShortName:WBC","ShortName","white blood cell"
"200","ShortName:LDLC","ShortName","low density lipoprotein cholesterol"
"201","Other lab:1200078286","Other lab","testosterone"
"202","LOINC:5821-4","LOINC","leukocytes [#/area] in urine sediment by microscopy high power field"
"203","LOINC:13317-3","LOINC","methicillin resistant staphylococcus aureus [presence] in specimen by organism specific culture"
"204","LOINC:2532-0","LOINC","lactate dehydrogenase [enzymatic activity/volume] in serum or plasma"
"205","Other lab:1000011408","Other lab","calcium"
"206","LOINC:3040-3","LOINC","lipase [enzymatic activity/volume] in serum or plasma"
"207","Other lab:1200103300","Other lab","occult blood2"
"208","C0015252","PROC","removal technique"
"209","C0018935","PROC","Hematocrit procedure"
"210","C0031350","DISO","Pharyngitis"
"211","C0035285","CHEM","Reticulin"
"212","C0037287","DISO","Skin nodule"
"213","C0039462","CHEM","Tellurium"
"214","C0151699","DISO","Intracranial Hemorrhage"
"215","C0165590","CHEM","dorzolamide"
"216","C0203634","PROC","Nuclear medicine procedure"
"217","C0243237","CHEM","Docusate Sodium"
"218","C0282140","CHEM","Docusate Calcium"
"219","C0304016","CHEM","Robin - Plant Product or Poison"
"220","C0423682","DISO","Low Back Pain, Mechanical"
"221","C0424350","ACTI","Uncooperative behavior"
"222","C0430054","PROC","Toxicology screen, general (procedure)"
"223","C0476403","DISO","Electromyogram abnormal"
"224","C0563243","DISO","Poor coordination"
"225","C0679005","ACTI","Social Skills"
"226","C0546866","CHEM","gentamicin sulfate"
"227","C0846595","PROC","Speech assessment"
"228","C0055729","CHEM","cilostazol"
"229","PheCode:585.31","PheCode","renal dialysis"
"230","PheCode:1100","PheCode","family history"
"231","PheCode:745","PheCode","pain in joint"
"232","RXNORM:6135","RXNORM","ketoconazole"
"233","CCS:231","CCS","other therapeutic procedures"
"234","ShortName:HCT","ShortName","hematocrit"
"235","ShortName:PT","ShortName","prothrombin time"
"236","ShortName:Trig","ShortName","triglycerides"
"237","ShortName:Troponin I","ShortName","troponin i"
"238","ShortName:MCH","ShortName","mean corpuscular hemoglobin"
"239","ShortName:MCV","ShortName","mean cell volume"
"240","ShortName:Potas - BSP","ShortName","serum potassium"
"241","ShortName:TSAT","ShortName","transferrin saturation"
"242","Other lab:1200102408","Other lab","ma ur creat"
"243","LOINC:25145-4","LOINC","bacteria [presence] in urine sediment by light microscopy"
"244","C0006222","CHEM","Bromides"
"245","C0011682","PHEN","Desiccation"
"246","C0011947","CHEM","Dialysis Solutions"
"247","C0080203","DISO","Tachyarrhythmia"
"248","C0108844","PROC","CDE protocol-cyclophosphamide/doxorubicin/etoposide"
"249","C0151907","DISO","Discoloration of skin"
"250","C0221204","DISO","Lytic lesion"
"251","C0238979","DISO","CHEERFULNESS"
"252","C0263530","DISO","Longitudinal split nail"
"253","C0277854","DISO","dyspneic"
"254","C0280540","PROC","cisplatin/mitomycin/vinblastine protocol"
"255","C0304227","CHEM","Prescription Drugs"
"256","C0333559","DISO","Infarction, Lacunar"
"257","C0409208","DISO","Arthritis of hand"
"258","C0432763","DISO","Contusion of elbow"
"259","C0557984","PROC","Special observation"
"260","C0600510","CHEM","Expressed Sequence Tags"
"261","C0004147","CHEM","Atenolol"
"262","C0740399","DISO","Auditory and visual hallucinations"
"263","C0770323","CHEM","MULTIVITAMIN W/MINERALS"
"264","C0857353","DISO","Hypotensive"
"265","C0860814","DISO","Corrected QT Interval"
"266","C0885467","CHEM","Juglans regia preparation"
"267","C0982234","CHEM","Recombinant interferon beta-1a"
"268","C1579887","DISO","Car accident"
"269","C1688601","PROC","Overrefraction"
"270","C1843862","DISO","Memory difficulties"
"271","C1998730","DISO","Adequate Sleep"
"272","Other lab:800038597","Other lab","urine sediment microscopic ( not c&s)"
"273","PheCode:614.52","PheCode","vaginitis and vulvovaginitis"
"274","PheCode:416","PheCode","cardiomegaly"
"275","PheCode:227.1","PheCode","benign neoplasm of adrenal gland"
"276","PheCode:735","PheCode","acquired foot deformities"
"277","PheCode:401","PheCode","hypertension"
"278","RXNORM:218488","RXNORM","minerals/multivitamins"
"279","RXNORM:36676","RXNORM","sodium bicarbonate"
"280","RXNORM:3322","RXNORM","diazepam"
"281","RXNORM:687306","RXNORM","dextran 70/hypromellose"
"282","CCS:67","CCS","other therapeutic procedures, hemic and lymphatic system"
"283","CCS:198","CCS","magnetic resonance imaging"
"284","RXNORM:6470","RXNORM","lorazepam"
"285","RXNORM:75635","RXNORM","eptifibatide"
"286","CCS:37","CCS","diagnostic bronchoscopy and biopsy of bronchus"
"287","ShortName:Platelet","ShortName","platelet"
"288","ShortName:Hemoglobin","ShortName","hemoglobin"
"289","ShortName:TotalCK","ShortName","total creatine kinase"
"290","C0152458","DISO","Leukocoria"
"291","PheCode:911","PheCode","blister"
"292","C0013220","DISO","Drug Tolerance"
"293","C0013790","PHEN","Electricity"
"294","C0086931","ACTI","Risk Behavior"
"295","C0266309","DISO","congenital lobulation of kidney"
"296","C0279078","PROC","cisplatin/cytarabine/etoposide protocol"
"297","Other lab:1200057400","Other lab","leucocyte esterase, urine"
"298","C0036835","PHEN","Serum Total Iron-Binding Capacity result"
"299","C0151448","DISO","Rotator Cuff Tendinitis"
"300","C0184626","PROC","rnrx special diet"
"301","PheCode:272.13","PheCode","mixed hyperlipidemia"
"302","PheCode:289","PheCode","other diseases of blood and blood-forming organs"
"303","RXNORM:161","RXNORM","acetaminophen"
"304","CCS:124","CCS","hysterectomy, abdominal and vaginal"
"305","ShortName:Microalbumin Spot","ShortName","microalbumin spot"
"306","LOINC:14664-7","LOINC","color of synovial fluid"
"307","C0004178","PHEN","Atmosphere, planetary"
"308","C0005119","PHYS","Bereavement"
"309","C0016229","CHEM","Flecainide"
"310","C0016286","PROC","Fluid Therapy"
"311","C0035094","CHEM","Renin"
"312","C0055895","CHEM","Clobetasol Propionate"
"313","C0412669","PROC","Computerized tomography, bone density study"
"314","C0702194","PHEN","Fire as a heat source"
"315","C1306341","DISO","Mental handicap"
"316","C2015926","DISO","outcomes otolaryngology breathing"
"317","PheCode:250.2","PheCode","type 2 diabetes"
"318","PheCode:415.21","PheCode","primary pulmonary hypertension"
"319","PheCode:707.2","PheCode","chronic ulcer of leg or foot"
"320","CCS:193","CCS","diagnostic ultrasound of heart (echocardiogram)"
"321","ShortName:TotChol","ShortName","total cholesterol"
"322","LOINC:33364-1","LOINC","normochromic [presence] in blood by light microscopy"
"323","LOINC:63378-4","LOINC","erythrocyte clumps [presence] in urine sediment by light microscopy"
"324","LOINC:4679-7","LOINC","reticulocytes/100 erythrocytes in blood"
"325","LOINC:32167-9","LOINC","clarity of urine"
"326","LOINC:5388-4","LOINC","toxoplasma gondii igg ab [units/volume] in serum or plasma by immunoassay"
"327","LOINC:2695-5","LOINC","osmolality of urine"
"328","LOINC:698-1","LOINC","neisseria gonorrhoeae [presence] in specimen by organism specific culture"
"329","LOINC:7790-9","LOINC","burr cells [presence] in blood by light microscopy"
"330","C0002645","CHEM","Amoxicillin"
"331","C0006142","DISO","Malignant neoplasm of breast"
"332","C0008402","CHEM","Cholestyramine Resin"
"333","C0012854","CHEM","DNA"
"334","C0023895","DISO","Liver diseases"
"335","C0027627","DISO","Neoplasm Metastasis"
"336","C0031381","CHEM","Phencyclidine"
"337","C0036439","DISO","Scoliosis, unspecified"
"338","C0059422","CHEM","Epicatechin-3-Gallate"
"339","C0077275","CHEM","Triptorelin"
"340","C0149521","DISO","Pancreatitis, Chronic"
"341","C0185506","PROC","Fitting of shoe"
"342","C0199900","PROC","Rectal examination"
"343","C0205180","DISO","Anicteric"
"344","C0206255","CHEM","Malaria Vaccines"
"345","C0233397","DISO","Psychological symptom"
"346","C0240735","DISO","Personality Change"
"347","C0265040","DISO","External hemorrhoids (disorder)"
"348","C0271276","DISO","Stahli's line"
"349","C0278138","DISO","Mild pain"
"350","C0294637","CHEM","L 30"
"351","C0433058","DISO","Deep laceration"
"352","C0455540","DISO","History of - respiratory disease"
"353","C0575827","DISO","Small finger"
"354","C0741779","DISO","BREATH SOUND RHONCHI"
"355","C1444647","DISO","Wanted"
"356","PheCode:979","PheCode","adverse drug events and drug allergies"
"357","PheCode:1013","PheCode","asphyxia and hypoxemia"
"358","PheCode:772.4","PheCode","rhabdomyolysis"
"359","PheCode:338.2","PheCode","chronic pain"
"360","PheCode:244","PheCode","hypothyroidism"
"361","RXNORM:797541","RXNORM","isopropyl alcohol"
"362","CCS:237","CCS","ancillary services"
"363","CCS:70","CCS","upper gastrointestinal endoscopy, biopsy"
"364","ShortName:A1C","ShortName","hemoglobin a1c"
"365","ShortName:INR","ShortName","international normalized ratio"
"366","LOINC:10998-3","LOINC","oxycodone [presence] in urine"
"367","LOINC:5775-2","LOINC","calcium phosphate crystals [presence] in urine sediment by light microscopy"
"368","LOINC:702-1","LOINC","anisocytosis [presence] in blood by light microscopy"
"369","C0007012","CHEM","Carbon Dioxide"
"370","C0020811","CHEM","Idoxuridine"
"371","C0025562","CHEM","Metanephrine"
"372","C0165603","CHEM","Atovaquone"
"373","C0192748","PROC","Jejunojejunostomy"
"374","C0237677","DISO","insensitivity"
"375","C0243041","CHEM","Molecular Chaperones"
"376","C0347533","DISO","Toxic leukocyte granulations"
"377","C0430027","PROC","biochemical test"
"378","C0457086","DISO","Morning stiffness - joint"
"379","C1273421","PROC","Viral studies (procedure)"
"380","C0000729","DISO","Abdominal Cramps"
"381","PheCode:411.4","PheCode","coronary atherosclerosis"
"382","PheCode:523","PheCode","gingival and periodontal diseases"
"383","PheCode:454","PheCode","varicose veins"
"384","PheCode:300.1","PheCode","anxiety disorder"
"385","PheCode:038.3","PheCode","bacteremia"
"386","CCS:188","CCS","cerebral arteriogram"
"387","CCS:48","CCS","insertion, revision, replacement, removal of cardiac pacemaker or cardioverter/defibrillator"
"388","CCS:168","CCS","incision and drainage, skin and subcutaneous tissue"
"389","ShortName:Microalbumin","ShortName","microalbumin"
"390","ShortName:Troponin","ShortName","troponin"
"391","ShortName:Bilirubin Direct","ShortName","bilirubin direct"
"392","ShortName:C-Peptide","ShortName","c-peptide"
"393","ShortName:Ferritin","ShortName","ferritin"
"394","ShortName:Glucose - FS","ShortName","fingerstick glucose"
"395","LOINC:11555-0","LOINC","base excess in blood by calculation"
"396","Other lab:1000047039","Other lab","fobt#3"
"397","Other lab:1000044163","Other lab","rpi"
"398","Other lab:1400060339","Other lab","ur creatinine (sy)"
"399","LOINC:22322-2","LOINC","hepatitis b virus surface ab [presence] in serum"
"400","C0002658","CHEM","Amphetamine"
"401","C0002962","DISO","Angina Pectoris"
"402","C0004482","CHEM","Azathioprine"
"403","C0004698","DISO","Balkan Nephropathy"
"404","C0004745","CHEM","Barbiturates"
"405","C0010536","CHEM","Cyclic GMP-Dependent Protein Kinases"
"406","C0014724","DISO","Eructation"
"407","C0017725","CHEM","Glucose"
"408","C0020507","DISO","Hyperplasia"
"409","C0025701","CHEM","Methyl Green"
"410","C0025872","CHEM","Metronidazole"
"411","C0030247","PROC","Palpation"
"412","C0033095","PHEN","Pressure- physical agent"
"413","C0034951","DISO","Refractive Errors"
"414","C0037107","CHEM","Silicon"
"415","C0059735","CHEM","Cytochrome P-450 CYP1A1"
"416","C0075870","CHEM","tazobactam"
"417","C0202362","PROC","Cocaine measurement"
"418","C0220806","CHEM","Chemicals"
"419","C0240863","DISO","RAPID SPEECH"
"420","C0341217","DISO","Dieulafoy's vascular malformation"
"421","C0343731","DISO","Penile warts"
"422","C0369248","CHEM","Blood group antigen G (substance)"
"423","C0424488","DISO","Lip line"
"424","C0424589","DISO","Vitality"
"425","C0432222","DISO","Spondyloenchondrodysplasia"
"426","C0453994","DISO","Current sexual activity"
"427","C0545447","PROC","monitoring temperature"
"428","C1692318","CHEM","Docusate"
"429","C2186386","DISO","reported history of knee replacement"
"430","PheCode:750","PheCode","digestive congenital anomalies"
"431","PheCode:727.6","PheCode","rupture of tendon, nontraumatic"
"432","RXNORM:67109","RXNORM","dalteparin"
"433","Other lab:800018940","Other lab","tibc (calculated),blood"
"434","C0022595","DISO","Keratosis Follicularis"
"435","C0022972","DISO","Lambert-Eaton Myasthenic Syndrome"
"436","C0281471","PROC","Gallium Nitrate/Ifosfamide/Vinblastine"
"437","C0589101","PHYS","Divided attention"
"438","C0720930","CHEM","Hyrex Brand of Dimenhydrinate"
"439","PheCode:290","PheCode","delirium dementia and amnestic and other cognitive disorders"
"440","PheCode:386.2","PheCode","peripheral or central vertigo"
"441","RXNORM:2635","RXNORM","coal tar"
"442","RXNORM:2623","RXNORM","clotrimazole"
"443","CCS:220","CCS","ophthalmologic and otologic diagnosis and treatment"
"444","ShortName:BNP","ShortName","b-type natriuretic peptide"
"445","ShortName:HCV - RNA VL","ShortName","hepatitis c rna viral load"
"446","ShortName:Microalbumin/creatinine ratio","ShortName","microalbumin/creatinine ratio"
"447","LOINC:14979-9","LOINC","aptt in platelet poor plasma by coagulation assay"
"448","LOINC:43304-5","LOINC","chlamydia trachomatis rrna [presence] in specimen by naa with probe detection"
"449","Other lab:1200052350","Other lab","hepatitis c (d/c 4/18)"
"450","LOINC:5802-4","LOINC","nitrite [presence] in urine by test strip"
"451","LOINC:11556-8","LOINC","oxygen [partial pressure] in blood"
"452","C0056447","PROC","CP protocol"
"453","C0080232","PROC","Tissue Transplantation"
"454","C0188466","PROC","Osteotomy of metatarsal"
"455","C0201547","PROC","CA 15-3 measurement"
"456","C0279512","PROC","cytarabine/daunorubicin/prednisone/thioguanine"
"457","C0474509","DISO","Feces normal"
"458","C0574785","DISO","Lower Urinary Tract Symptoms"
"459","C2350089","CHEM","tramadol hydrochloride"
"460","PheCode:519","PheCode","other diseases of respiratory system, not elsewhere classified"
"461","PheCode:563","PheCode","constipation"
"462","PheCode:555","PheCode","inflammatory bowel disease and other gastroenteritis and colitis"
"463","PheCode:189","PheCode","cancer of urinary organs (incl. kidney and bladder)"
"464","PheCode:185","PheCode","cancer of prostate"
"465","RXNORM:5224","RXNORM","heparin"
"466","ShortName:AST","ShortName","aspartate transaminase"
"467","ShortName:CKMB - Abs","ShortName","creatine kinase-mb - absolute count"
"468","Other lab:1400047703","Other lab","calc."
"469","LOINC:5813-1","LOINC","trichomonas vaginalis [presence] in urine sediment by light microscopy"
"470","Other lab:1200021274","Other lab","ly %"
"471","LOINC:5811-5","LOINC","specific gravity of urine by test strip"
"472","C0001459","CHEM","Adenosine Diphosphate"
"473","C0004134","DISO","Ataxia"
"474","C0018592","PHYS","Happiness"
"475","C0039840","CHEM","Thiamine"
"476","C0054504","CHEM","Calgranulin A"
"477","C0150238","PROC","Fluid resuscitation"
"478","C0268059","DISO","Neonatal hemochromatosis"
"479","C0524662","DISO","Opiate Addiction"
"480","C0678568","PHEN","Cool - action"
"481","C0815189","DISO","treatment need"
"482","C2215291","DISO","acute systolic CHF"
"483","PheCode:337","PheCode","disorders of the autonomic nervous system"
"484","PheCode:475","PheCode","chronic sinusitis"
"485","PheCode:418","PheCode","nonspecific chest pain"
"486","PheCode:250.41","PheCode","impaired fasting glucose"
"487","PheCode:110.1","PheCode","dermatophytosis"
"488","PheCode:389.1","PheCode","sensorineural hearing loss"
"489","PheCode:703","PheCode","diseases of nail, nos"
"490","RXNORM:357977","RXNORM","sunitinib"
"491","RXNORM:9796","RXNORM","simethicone"
"492","RXNORM:306674","RXNORM","vardenafil"
"493","RXNORM:5640","RXNORM","ibuprofen"
"494","CCS:202","CCS","electrocardiogram"
"495","CCS:17","CCS","destruction of lesion of retina and choroid"
"496","CCS:200","CCS","nonoperative urinary system measurements"
"497","CCS:192","CCS","diagnostic ultrasound of head and neck"
"498","ShortName:PSA","ShortName","prostate-specific antigen"
"499","Other lab:1000008410","Other lab","o2 sat."
"500","Other lab:1200111900","Other lab","hepatitis c antibody"
"501","LOINC:728-6","LOINC","hypochromia [presence] in blood by light microscopy"
"502","Other lab:1200002931","Other lab","pco2"
"503","LOINC:21033-6","LOINC","yeast.budding [presence] in urine sediment"
"504","LOINC:3397-7","LOINC","cocaine [presence] in urine"
"505","C0001175","DISO","Acquired Immunodeficiency Syndrome"
"506","C0008565","PROC","Liquid Chromatography"
"507","C0008586","CHEM","Chromogranins"
"508","C0009519","CHEM","Complement component C5"
"509","C0014441","PROC","Enzyme-Linked Immunosorbent Assay"
"510","C0024517","DISO","Major depression, single episode"
"511","C0028643","DISO","Numbness"
"512","C0029191","DISO","Orchitis"
"513","C0030971","PHYS","Perception"
"514","C0032825","CHEM","Potassium Chloride"
"515","C0032923","CHEM","Prealbumin"
"516","C0151691","DISO","Decreased HDL cholesterol concentration"
"517","C0162680","CHEM","Technetium Tc 99m Sestamibi"
"518","C0185514","PROC","Operation on mandible"
"519","C0202348","PROC","Caffeine Measurement"
"520","C0208150","CHEM","H 189"
"521","C0220983","DISO","Metabolic alkalosis"
"522","C0260268","DISO","Medication abuse"
"523","C0262361","DISO","Growth abnormality"
"524","C0262718","PROC","Pelvic floor exercises"
